#hash-mark	hamork
#pound-sign	pawndsoyn
%	p'rsent
&	'nd and
eruptive	Yyrupt'v irupt'v
erupts	Yyrupts irupts
erven	Rrvun
ervin	Rrvin
erving	RrviN
erway	Rrwey
erwin	Rrwin
erwina	'rvoyn'
erxleben	'rksleb'n
erykah	erYyk'
erythropoietin	'riTr'pcyt'n
erzurum	'rzUr'm
es	es
esarey	es'rYy
esau	Yyso
esbenshade	esb'nS'd esb'nS'yd
esber	esb'r
escada	eskod'
escalade	esk'lod
escalante	'sk'lontYy
escalate	esk'leyt
escalated	esk'leyt'd
escalates	esk'leyts
escalating	esk'leyt'N
escalation	esk'leyS'n
escalator	esk'leyt'r
escalators	esk'leyt'rz
escalera	'sk'ler'
escalona	'sk'luwn'
escambia	eskambYy'
escamez	'skom'z
escamilla	'sk'mil'
escanaba	esk'nob'
escandon	'skand'n
escapade	esk'peyd
escapades	esk'peydz
escape	'skeyp
escaped	'skeypt
escapee	'skeypYy
escapees	'skeypYyz
escapement	'skeypm'nt
escapes	'skeyps
escaping	'skeyp'N
escapism	'skeypiz'm
escarcega	'sk'rtSeg'
escareno	'sk'ren'w
escarpment	'skorpm'nt
escarpments	'skorpm'nts
esch	eS
eschatological	esk't'lodZ'k'l
eschbach	eSbok
esche	eS
eschemic	eskYym'k
eschen	eS'n
eschenbach	eS'nb'k
eschenburg	eS'nb'rg
escher	eS'r
eschete	eSYyt
eschew	'stSWw
eschewed	eSWwd eskyWwd
eschewing	eSWw'N eskyWw'N
eschews	'stSWwz
eschmann	eSm'n
esco	esk'w
escobar	esk'bor esk'wbor
escobar's	esk'borz esk'wborz
escobedo	'sk'wbeyd'w
escoe	'skuw
escondido	esk'ndYyd'w
escora	'skcr'
escort	'skcrt eskcrt
escorted	'skcrt'd
escorting	eskcrt'N
escorts	eskcrts
escoto	'skuwt'w
escott	esk't
escrow	'skruw eskr'w
escrowed	eskr'wd
escuchando	eskWwtSond'w
escudero	'skWwder'w
escudo	'skWwd'w
escudos	'skWwd'wz
escue	eyskyWw
esculent	'skWwl'nt
esh	eS
esham	eS'm
eshbach	eSbok
eshbaugh	'Sbo
eshelman	eS'lm'n
eshleman	eS'lm'n
eskandarian	esk'nderYy'n
eskelson	esk'ls'n
eskenazi	'sk'nozYy 'ysk'ynozYy
esker	esk'r
eskew	eskyWw
eskey	eskYy
eskimo	esk'muw
eskimos	esk'muwz
eskin	'skin
eskridge	eskridZ
esler	es'l'r esl'r
eslick	esl'k
eslinger	es'l'N'r esl'N'r
esmark	esmork
esme	ezm
esmerelda	'sm'reld'
esmine	ezm'n
esmond	ezm'nd
esophagus	'sof'g's
esoteric	es'ter'k es'wter'k
espada	'yspod'
espalier	'spaly'r
espana	'spany'
espanol	esp'nyuwl
espanola	esp'nuwl'
esparza	'sporz'
espe	esp
especial	'speS'l
especially	'speS'lYy 'speSlYy
espectador	'spekt'dcr
espejo	'yspey'w
espeland	esp'l'nd
espenschied	esp'nSYyd
espenshade	esp'nS'd esp'nS'yd
esper	esp'r
esperanto	esp'rant'w
esperanto's	esp'rant'wz
espeseth	esp's'T
espey	espYy
espinal	'yspYyn'l
espino	'yspYyn'w
espinola	'spYynuwl'
espinosa	'sp'nuwz'
espinoza	'yspYynuwz'
espionage	espYy'n'dZ
espirito	esp'rYyt'w espir't'w
espiritu	'sp'rYytSWw
espitia	'spYyS'
esplanade	espl'nod
esplin	espl'n
esposito	'sp'zYyt'w
espouse	'spaws 'spawz
espoused	'spawst 'spawzd
espouses	'spaws'z 'spawz'z
espousing	'spaws'N 'spawz'N
espresso	ekspresuw espres'w
espressos	ekspresuwz espresuwz
esprit	'sprYy
esprit's	'sprYyz
espy	espYy
espy's	espYyz
esque	esk
esqueda	'skweyd'
esquer	'skRr
esquibel	'yskwYybel
esquire	eskwoyr
esquire's	eskwoyrz
esquivel	'yskwYyvel
esrey	esrYy
ess	es
essa	es'
essary	es'rYy
essay	'sey esey
essayist	esey'st
essays	'seyz eseyz
esse	es
esselman	es'lm'n
esselte	'seltYy
essen	es'n
essenburg	es'nb'rg
essence	es'ns
essential	'senS'l YysenS'l
essentially	'senS'lYy YysenS'lYy
essentials	'senS'lz YysenS'lz
esser	es'r
esses	es'z esYyz
essex	es'ks
essex's	es'ks'z
essick	es'k
essie	esYy
essig	es'g
esslinger	esl'Ng'r
essman	esm'n
essner	esn'r
esso	es'w
esson	es'n
est	est
esta	est'
establish	'stabl'S
established	'stabl'St
establishes	'stabl'S'z
establishing	'stabl'S'N
establishment	'stabl'Sm'nt
establishment's	'stabl'Sm'nts
establishments	'stabl'Sm'nts
estabrook	est'brIk
estabrooks	est'br'ks
estai	est'y
estan	est'n
estate	'steyt
estate's	'steyts
estatehood	'steythId
estates	'steyts
este	est'y
esteban	est'b'n
estedat	est'dat
estee	estYy
esteem	'stYym
esteem's	'stYymz
esteemed	'stYymd
estefan	'stev'n est'f'n
estel	est'l
estell	est'l
estella	'stel'
estelle	'stel
estenson	est'ns'n
estep	est'p
estepp	est'p
ester	est'r
esterline	est'rloyn
esterline's	est'rloynz
esterly	est'rlYy
esters	est'rz
estes	estYyz
esteve	est'v
esteves	'steyv's
estevez	'steyv'z
estey	estYy
esther	est'r
esthetic	'sTet'k
esthetically	'sTet'klYy
esthetics	'sTet'ks
estill	'stYyl
estimable	est'm'b'l
estimate	est'm't est'meyt
estimated	est'meyt'd
estimates	est'm'ts est'meyts
estimating	est'meyt'N
estimation	est'meyS'n
estimations	est'meyS'nz
estimator	'stim't'r est'meyt'r
estimators	'stim't'rz est'meyt'rz
estis	est's
estle	es'l
estock	est'k
estok	'stok
estonia	'stuwnYy'
estonian	'stuwnYy'n
estonians	'stuwnYy'nz
estrada	'strod'
estrange	'streyndZ
estranged	'streyndZd
estrangement	'streyndZm'nt
estrella	estrel'
estrich	estr'k
estridge	'stridZ
estrin	estr'n
estrogen	estr'dZ'n
estrogens	estr'dZ'nz
estrous	estr's
estrus	estr's
estruth	estrWwT
estuaries	estSWwerYyz
estuary	estSWwerYy
esty	estYy
esworthy	esw'rDYy
eszterhas	est'rh's
et	et
etablissements	et'blis'monts
etc	etset'r'
etcetera	etset'r'
etch	etS
etched	etSt
etches	etS'z
etcheverry	etS'v'rYy
etching	etS'N
etchings	etS'Nz
etchison	etS's'n
eternal	'tRrn'l YytRrn'l
eternally	'tRrn'lYy YytRrn'lYy
eternit	et'rn't
eternity	'tRrn'tYy YytRrn'tYy
etess	etes
ethan	YyT'n
ethane	eTeyn
ethanol	eT'nol
ethel	eT'l
ethelbert	eT'lb'rt
ethelda	'Teld'
ethelinda	'T'lYynd'
etheline	eT'loyn
etheljean	eT'ldZYyn eT'ly'n
ethelson	eT'ls'n
ethelyn	eT'l'n
ethene	eTYyn
ether	YyT'r
ethereal	'TirYy'l
etheredge	eT'r'dZ
etheridge	eT'ridZ
etherington	eD'r'Nt'n
ethernet	YyT'rnet
ethers	YyT'rz
etherton	'TRrt'n eT'rt'n
ethic	eT'k
ethical	eT'k'l
ethically	eT'k'lYy
ethicist	eT's'st
ethicists	eT's'sts
ethicon	eT'kon
ethics	eT'ks
ethier	eTYy'r
ethington	eT'Nt'n
ethiopia	YyTYyuwpYy'
ethiopia's	YyTYyuwpYy'z
ethiopian	YyTYyuwpYy'n
ethiopians	YyTYyuwpYy'nz
ethnic	eTn'k
ethnical	eTn'k'l
ethnically	eTn'klYy
ethnicity	'Tnis'tYy
ethnics	eTn'ks
ethnocentric	eTn'wsentr'k
ethnocentrism	eTn'wsentr'z'm
ethnographic	eTn'graf'k
ethnology	'Tnol'dZYy
ethnomusicologist	'Tn'myWwz'kol'dZ'st
ethnos	eTn'ws
ethnos's	eTn's'z
ethology	'Tol'dZYy
ethos	YyT's
ethridge	'TridZ
ethyl	eT'l
ethylene	eT'lYyn
ethyol	eT'y'l
etienne	etYy'n
etiologies	YytYyol'dZYyz
etiology	YytYyol'dZYy
etiquette	et'k't
etling	etl'N
etna	etn'
eton	Yyt'n
etops	Yyt'ps
etruscan	'trusk'n
etruscans	'trusk'nz
etsty	etstYy
etsu	etsWw
etta	et'
etter	et'r
etters	et'rz
ettie	etYy
ettinger	et'N'r
ettinger's	et'N'rz
ettlinger	etl'N'r
etty	etYy
etudes	eytWwdz
etymological	et'm'lodZ'k'l
etymology	et'mol'dZYy
etzel	etz'l
etzel's	etz'lz
etzioni	etsYyuwnYy
etzkorn	etsk'rn
etzler	etsl'r
euan	yWw'n
eubank	yWwb'Nk
eubanks	yWwb'Nks
eucalypti	yWwk'lipt'y yWwk'liptYy
eucalyptus	yWwk'lipt's
eucharist	yWwk'r'st
euchre	yWwk'r
euchred	yWwk'rd
euclea	yWwklYy'
euclid	yWwkl'd
eudocia	yWwduwtS'
eudora	yWwdcr'
eudosia	yWwduwsYy'
eudoxia	yWwdoksYy'
eudy	yWwdYy
eugene	yWwdZYyn
eugenia	yWwdZYynYy'
eugenia's	yWwdZYynYy'z
eugenic	yWwdZen'k
eugenics	yWwdZen'ks
eugenie	yWwdZYynYy
eugenio	yWwdZYynYy'w
eugenio's	yWwdZYynYy'wz
eula	yWwl'
euler	cyl'r
eulich	yWwl'k
eulogies	yWwl'dZYyz
eulogize	yWwl'dZoyz
eulogized	yWwl'dZoyzd
eulogy	yWwl'dZYy
eulogy's	yWwl'dZYyz
eunice	yWwn's
eunuch	yWwn'k
euphemia	yWwfYymYy'
euphemism	yWwf'miz'm
euphemisms	yWwf'miz'mz
euphemistic	yWwf'mist'k
euphemistically	yWwf'mist'klYy
euphony	yWwf'nYy
euphoria	yWwfcrYy'
euphoric	yWwfcr'k
euphory	yWwfcrYy
euphrates	yWwfreytYyz
eurailpass	yWwreylpus
eurasia	y'reyZ'
eurasian	y'reyZ'n
eure	Rr
eureca	yWwr'k'
eureka	y'rYyk'
eurest	yUr'st
eurich	cyr'k
euro	yUr' yUr'w yWwr'w
eurobond	yWwr'wbond
eurobonds	yWwr'wbondz
eurocheck	yWwr'tSek
eurochecks	yWwr'tSeks
eurocom	yWwr'k'm yWwr'wk'm
eurocommercial	yWwr'wk'mRrS'l
eurocopter	yUr'wkopt'r
eurocopters	yUr'wkopt'rz
eurocrat	yWwr'kr't
eurocrats	yWwr'kr'ts
eurodebenture	yWwr'wd'bentS'r
eurodebentures	yWwr'wd'bentS'rz
eurodebt	yWwr'wdet
eurodeposit	yWwr'wd'poz't
eurodeposits	yWwr'wd'poz'ts
eurodisney	yUr'wdiznYy yWwr'wdiznYy
eurodollar	yUr'wdol'r yWwr'wdol'r
eurodollars	yWwr'wdol'rz
eurofighter	yWwr'wfoyt'r
eurofighters	yWwr'wfoyt'rz
eurofima	yWwr'fYym'
euromark	yWwr'm'rk
euromarket	yWwr'wmork't
euromarkets	yWwr'wmork'ts
euromissile	yWwr'wmis'l
euromissiles	yWwr'wmis'lz
euromobiliare	yWwr'wm'wb'ler
euromobiliare's	yWwr'wm'wb'lerz
euromoney	yWwr'wmunYy
euronote	yWwr'nuwt
euronotes	yWwr'nuwts
europa	y'ruwp'
europe	yUr'p
europe's	yUr'ps
european	yIr'pYy'n
europeans	yIr'pYy'nz
europeans'	yIr'pYy'nz
europeenne	yWwr'wpYyn
europewide	yUr'pwoyd
europhile	yUr'wf'yl
europhiles	yUr'wf'ylz
europium	y'ruwpYy'm
euros	yWwruwz
eurosid	yWwr's'd
eurostar	yUr'wstor
eurostat	yWwrost't
eurosterling	yWwr'wstRrl'N
eurotunnel	yWwr'wtun'l
eurotunnel's	yUr'wtun'lz
euroyen	yWwr'wyen
eury	yWwrYy
eusebio	yWwsYybYy'w
eustace	yWwst's
eustachian	yWwsteykYy'n
eustacia	yWwstotS'
eustice	yWwst's
eustis	yWwst's
euthanasia	yWwT'neyZ' yWwT'neyZy'
euthanasia's	yWwT'neyZ'z
euthanize	yWwT'noyz
eutsey	yWwtsYy
eutsler	yWwtsl'r
ev	ev
eva	Yyv' eyv'
eva's	Yyv'z eyv'z
evacuate	'vaky'eyt Yyvaky'eyt
evacuated	'vaky'weyt'd Yyvaky'weyt'd
evacuating	'vaky'weyt'N Yyvaky'weyt'N
evacuation	'vaky'weyS'n Yyvaky'weyS'n
evacuations	'vaky'weyS'nz Yyvaky'weyS'nz
evacuee	'vakyWwYy YyvakyWwYy
evacuees	'vakyWwYyz YyvakyWwYyz
evade	'veyd Yyveyd
evaded	'veyd'd Yyveyd'd
evader	'veyd'r Yyveyd'r
evaders	'veyd'rz Yyveyd'rz
evades	'veydz Yyveydz
evading	'veyd'N Yyveyd'N
evadne	'vednYy
evald	Yyvold ev'ld
evaleen	ev'lYyn
evaluate	'valyWweyt YyvalyWweyt
evaluated	'valyWweyt'd YyvalyWweyt'd
evaluates	'valyWweyts YyvalyWweyts
evaluating	'valyWweyt'N YyvalyWweyt'N
evaluation	'valyWweyS'n YyvalyWweyS'n
evaluations	'valyWweyS'nz YyvalyWweyS'nz
evan	ev'n
evancho	'vonk'w
evander	Yyvand'r
evandro	Yyvadr'w evodr'w
evanescence	ev'nes'ns
evanescent	ev'nes'nt
evangelical	Yyv'ndZel'k'l
evangelicals	YyvandZel'k'lz
evangeline	'vandZ'loyn
evangelism	'vandZ'liz'm YyvandZ'liz'm
evangelist	'vandZ'l'st YyvandZ'l'st
evangelista	'v'Ng'lYyst'
evangelistic	YyvandZ'l'st'k
evangelists	'vandZ'l's 'vandZ'l'sts YyvandZ'l's YyvandZ'l'sts
evangelize	'vandZ'loyz YyvandZ'loyz
evangi	'vandZYy
evanko	'vaNk'w
evanoff	ev'nof
evanov	ev'nov
evans	ev'nz
evans'	ev'nz
evans's	ev'nz'z
evanson	ev'ns'n
evanston	ev'nst'n
evansville	ev'nzvil
evaporate	'vap'reyt
evaporated	'vap'reyt'd Yyvap'reyt'd
evaporates	'vap'reyts Yyvap'reyts
evaporating	'vap'reyt'N Yyvap'reyt'N
evaporation	'vap'reyS'n Yyvap'reyS'n
evaporator	'vap'reyt'r Yyvap'reyt'r
evarts	ev'rts
evasion	'veyZ'n YyveyZ'n
evasions	'veyZ'nz YyveyZ'nz
evasive	'veyz'v Yyveyz'v
evatt	ev't
eve	Yyv
evel	ev'l
eveland	Yyvl'nd
eveleth	ev'l'T
evelina	ev'lYyn'
eveline	ev'l'n
evelyn	ev'l'n
even	Yyv'n
evendale	ev'ndeyl
evened	Yyv'nd
evenhanded	Yyv'nhand'd
evenhandedly	ev'nhand'dlYy
evening	Yyvn'N
evening's	Yyvn'Nz
evenings	Yyvn'Nz
evenly	Yyv'nlYy
evenness	Yyv'nn's
evens	Yyv'nz
evensen	ev'ns'n
evensky	YyvenskYy
evenson	ev'ns'n
event	'vent Yyvent
event's	'vents Yyvents
eventful	'ventf'l Yyventf'l
events	'vents Yyvents
eventual	'ventSWw'l YyventSWw'l
eventuality	'ventSWwal'tYy YyventSWwal'tYy
eventually	'venS'lYy 'ventS'w'lYy YyvenS'lYy YyventS'w'lYy
ever	ev'r
everage	ev'r'dZ
everard	ev'r'rd
everbach	ev'rbok
everding	ev'rd'N
eveready	ev'redYy
evered	ev'rd
everest	ev'r'st evr'st
everest's	ev'r'sts evr'sts
everett	ev'r't evr't
everette	ev'ret
everetts	ev'r'ts evr'ts
everex	ev'r'ks
everglades	ev'rgleydz
everglades'	ev'rgleydz
evergood	ev'rgId
evergreen	ev'rgrYyn
evergreens	ev'rgrYynz
everhardt	ev'rhort
everhart	ev'rhort
everidge	ev'ridZ
everingham	ev'r'Nham
everington	ev'riNt'n
everitt	ev'r't
everlast	ev'rlast
everlasting	ev'rlast'N
everlastings	ev'rlast'Nz
everley	ev'rlYy
everling	ev'rl'N
everly	ev'rlYy
everman	ev'rm'n
evermore	ev'rmcr
evers	ev'rz
evers'	ev'rz
eversman	ev'rsm'n
eversole	ev'rsuwl
everson	ev'rs'n
evert	'vRrt
everton	ev'rt'n
everts	ev'rts
every	ev'rYy evrYy
everybody	evrYybodYy
everybody'd	evrYybodYyd
everybody's	evrYybodYyz
everyday	evrYydey
everyman	evrYym'n
everyman's	evrYym'nz
everyone	evrYywun
everyone's	evrYywunz
everyplace	evrYypleys
everything	evrYyTiN
everything's	evrYyTiNz
everythings	evrYyTiNz
everytime	evrYytoym
everywhere	evrYyhwer evrYywer
eves	Yyvz
evett	ev't
evetts	ev'ts
evian	evYy'n
evict	'vikt
evicted	'vikt'd
evicting	'vikt'N
eviction	'vikS'n
evictions	'vikS'nz
evidence	ev'd'ns
evidenced	ev'd'nst
evidences	ev'd'ns'z
evident	ev'd'nt
evidentiary	ev'denSYy'rYy ev'dentSYy'rYy
evidently	ev'd'ntlYy
evil	Yyv'l
evildoer	Yyv'ldWw'r
evildoers	Yyv'ldWw'rz
evils	Yyv'lz
evilsizer	Yyv'lsoyz'r
evilsizor	Yyv'lsoyz'r
evin	ev'n
evince	'vins
evinced	'vinst
evinger	Yyv'N'r
evins	ev'nz
eviscerate	'vis'reyt
eviscerated	'vis'reyt'd
evita	'vYyt'
evitt	ev't
evitts	ev'ts
evjen	evdZ'n
evlyn	evl'n
evocation	Yyv'wkeyS'n
evocative	'vok't'v
evoke	'vuwk Yyvuwk
evoked	'vuwkt Yyvuwkt
evokes	'vuwks Yyvuwks
evoking	'vuwk'N Yyvuwk'N
evola	'vuwl'
evolution	Yyv'lWwS'n Yyv'wlWwS'n ev'lWwS'n ev'wlWwS'n
evolutionary	Yyv'lWwS'nerYy Yyv'wlWwS'nerYy ev'lWwS'nerYy ev'wlWwS'nerYy
evolve	'volv Yyvolv
evolved	'volvd Yyvolvd
evolves	'volvz Yyvolvz
evolving	'volv'N Yyvolv'N
evon	ev'n
evonne	evon
evrard	evr'rd
evren	evr'n
ewald	yWw'ld
ewalt	yWw'lt
ewan	yWw'n
ewart	yWw'rt
ewbal	yWwb'l
ewbank	yWwb'Nk
ewe	yWw
ewell	yWw'l
ewen	yWw'n
ewer	yWw'r
ewers	yWw'rz
ewert	yWw'rt
ewes	yWwz
ewig	yWw'g
ewing	yWw'N
ewing's	yWw'Nz
ewings	yWw'Nz
ewoldt	yWw'wlt
ewong	yWw'N
eworld	YywRrld
ewton	yWwt'n
ewy	yWwYy
ex	eks
ex-boyfriend	eksbcyfrend
ex-boyfriends	eksbcyfrendz
ex-fighter	eksfoyt'r
ex-girlfriend	ekzgRrlfrend
ex-girlfriends	ekzgRrlfrendz
ex-husband	ekshuzb'nd
ex-husbands	ekshuzb'ndz
ex-voto	'ksvuwtuw
ex-wife	ekswoyf
ex-wives	ekswoyvz
exabyte	eks'boyt
exacerbate	'gzas'rbeyt
exacerbated	'gzas'rbeyt'd
exacerbates	'gzas'rbeyts
exacerbating	'gzas'rbeyt'N
exacerbation	'gzas'rbeyS'n
exacerbations	'gzas'rbeyS'nz
exact	'gzakt
exacted	'gzakt'd
exacting	'gzakt'N
exaction	'gzakS'n
exactions	'gzakS'nz
exactitude	'gzakt'tWwd
exactly	'gzaktlYy
exactly's	'gzaktlYyz
exacts	'gzakts
exaggerate	'gzadZ'reyt
exaggerated	'gzadZ'reyt'd
exaggerates	'gzadZ'reyts
exaggerating	'gzadZ'reyt'N
exaggeration	'gzadZ'reyS'n
exaggerations	'gzadZ'reyS'nz
exalt	'gzolt
exalted	'gzolt'd
exalting	'gzolt'N
exalts	'gzolts
exam	'gzam
examination	'gzam'neyS'n
examinations	'gzam'neyS'nz
examine	'gzam'n
examined	'gzam'nd
examiner	'gzam'n'r
examiner's	'gzam'n'rz
examiners	'gzam'n'rz
examiners'	'gzam'n'rz
examines	'gzam'nz
examining	'gzam'n'N
example	'gzamp'l
examples	'gzamp'lz
exams	'gzamz
exar	eks'r
exasperate	'gzasp'reyt
exasperated	'gzasp'reyt'd
exasperating	'gzasp'reyt'N
exasperation	eksasp'reyS'n
exboyfriend	eksbcyfrend
exbroker	eksbruwk'r
exbroker's	eksbruwk'rz
exbrokers	eksbruwk'rz
excalibur	ekskal'b'r
excavate	eksk'veyt
excavated	eksk'veyt'd
excavating	eksk'veyt'N
excavation	eksk'veyS'n
excavations	eksk'veyS'nz
excavator	eksk'veyt'r
excavators	eksk'veyt'rz
excedrin	'ksedr'n
exceed	'ksYyd
exceeded	'ksYyd'd
exceeding	'ksYyd'N
exceedingly	'ksYyd'NlYy
exceeds	'ksYydz
excel	'ksel
excel's	'kselz
excelan	eksel'n
excelled	'kseld
excellence	eks'l'ns
excellencies	ekslensYyz
excellency	ekslensYy
excellent	eks'l'nt
excellently	eks'l'ntlYy
excelling	'ksel'N
excels	'kselz
excelsior	'kselsYy'r
except	'ksept
excepted	'ksept'd
excepting	eksept'N
exception	'ksepS'n
exceptional	'ksepS'n'l
exceptionally	'ksepS'n'lYy 'ksepSn'lYy
exceptions	'ksepS'nz
excerpt	'ksRrpt eks'rpt
excerpted	eksRrpt'd
excerpts	'ksRrpts eks'rpts
excess	'kses ekses
excesses	'kses'z ekses'z
excessive	'kses'v
excessively	'kses'vlYy
exchange	'kstSeyndZ
exchange's	'kstSeyndZ'z
exchangeable	'kstSeyndZ'b'l
exchanged	'kstSeyndZd
exchanger	'kstSeyndZ'r
exchangers	'kstSeyndZ'rz
exchanges	'kstSeyndZ'z
exchanges'	'kstSeyndZ'z
exchanging	'kstSeyndZ'N
exchequer	ekstSek'r
excimer	eksim'r
excise	'ksoys eks'yz
excised	eksoyzd
excises	eksoyz'z
excision	'ksiZ'n
excitable	'ksoyt'b'l
excitation	eks'yteyS'n
excite	'ksoyt
excited	'ksoyt'd
excitedly	'ksoyt'dlYy
excitement	'ksoytm'nt
excites	'ksoyts
exciting	'ksoyt'N
exclaim	'kskleym
exclaimed	'kskleymd
exclaiming	'kskleym'N
exclaims	'kskleymz
exclamation	ekskl'meyS'n
exclamation-point	ekskl'meyS'npcynt
exclamations	ekskl'meyS'nz
excludable	'ksklWwd'b'l
exclude	'ksklWwd
excluded	'ksklWwd'd
excludes	'ksklWwdz
excluding	'ksklWwd'N
exclusion	'ksklWwZ'n
exclusionary	'ksklWwZ'nerYy
exclusions	'ksklWwZ'nz
exclusive	'ksklWws'v
exclusively	'ksklWws'vlYy
exclusives	'ksklWws'vz
exclusivity	eksklWwsiv'tYy
exco	eksk'w
excoa	ekskuw'
excommunicate	eksk'myWwn'keyt
excommunicated	eksk'myWwn'keyt'd
excommunication	eksk'myWwn'keyS'n
excoriate	'kskcrYyeyt
excoriated	'kskcrYyeyt'd
excoriating	'kskcrYyeyt'N
excoriation	'kskcrYyeyS'n
excrement	ekskr'm'nt
excrete	'kskrYyt
excretion	'kskrYyS'n
excretory	ekskr'tcrYy
excruciating	'kskrWwSYyeyt'N
excruciatingly	ekskrWwsYyeyt'NlYy
exculpate	ekskulp'yt
exculpatory	ekskulp'tcrYy
excursion	'kskRrZ'n
excursions	'kskRrZ'nz
excusable	'kskyWwz'b'l
excuse	'kskyWws 'kskyWwz
excused	'kskyWwzd
excuses	'kskyWws'z 'kskyWwz'z
excusing	'kskyWwz'N
exec	egzek
execrable	egzekr'b'l
execs	egzeks
execute	eks'kyWwt
executed	eks'kyWwt'd
executes	eks'kyWwts
executing	eks'kyWwt'N
execution	eks'kyWwS'n
executioner	eks'kyWwS'n'r
executioner's	eks'kyWwS'n'rz
executioners	eks'kyWwS'n'rz
executions	eks'kyWwS'nz
executive	'gzeky't'v
executive's	'gzeky't'vz
executives	'gzeky't'vz
executives'	'gzeky't'vz
executone	egzekyWwtuwn
executor	'gzeky't'r
executors	'gzeky't'rz
exel	'ksel
exemplar	'gzempl'r
exemplars	'gzempl'rz
exemplary	'gzempl'rYy
exemplified	'gzempl'foyd
exemplifies	'gzempl'foyz
exemplify	'gzempl'foy
exemplifying	'gzempl'foy'N
exemplum	'gzempl'm
exempt	'gzempt
exempted	'gzempt'd
exempting	'gzempt'N
exemption	'gzempS'n
exemptions	'gzempS'nz
exempts	'gzempts
exercisable	eks'rsoyz'b'l
exercise	eks'rsoyz
exercised	eks'rsoyzd
exerciser	eks'rsoyz'r
exercisers	eks'rsoyz'rz
exercises	eks'rsoyz'z
exercising	eks'rsoyz'N
exert	'gzRrt
exerted	'gzRrt'd
exerting	'gzRrt'N
exertion	'gzRrS'n
exertions	'gzRrS'nz
exerts	'gzRrts
exes	eks'z
exeter	eks't'r
exfoliate	'ksfuwlYy'yt
exfoliation	'ksfuwlYyeyS'n
exhalation	eksh'leyS'n
exhale	'ksheyl
exhaled	'ksheyld
exhaust	'gzost
exhausted	'gzost'd
exhausting	'gzost'N
exhaustion	'gzostS'n
exhaustive	'gzost'v
exhaustively	'gzost'vlYy
exhausts	'gzosts
exhibit	'gzib't
exhibit's	'gzib'ts
exhibited	'gzib't'd
exhibiting	'gzib't'N
exhibition	eks'biS'n
exhibitionist	eks'biS'n'st
exhibitionists	eks'biS'n'sts
exhibitions	eks'biS'nz
exhibitor	'gzib't'r
exhibitors	'gzib't'rz
exhibits	'gzib'ts
exhilarate	'gzil'reyt
exhilarated	'gzil'reyt'd
exhilarating	'gzil'reyt'N
exhilaration	'gzil'reyS'n
exhort	'gzcrt
exhortation	egzcrteyS'n
exhortations	egzcrteyS'nz
exhorted	'gzcrt'd
exhorting	'gzcrt'N
exhorts	'gzcrts
exhumation	'kshyWwmeyS'n
exhume	'kshyWwm
exhumed	'kshyWwmd
exhumes	'kshyWwmz
exide	eksoyd
exigencies	eksidZ'nsYyz
exigency	eksidZ'nsYy
exigent	eks'dZ'nt
exigents	eks'dZ'nts
exile	egzoyl eksoyl
exiled	egzoyld eksoyld
exiles	egzoylz eksoylz
exim	eks'm
exim's	eks'mz
exist	'gzist
existed	'gzist'd
existence	'gzist'ns
existent	'gzist'nt
existential	egzistenS'l
existing	'gzist'N
exists	'gzists
exit	egz't eks't
exited	egz't'd
exiting	egz't'N
exits	egz'ts eks'ts
exler	eksl'r
exley	ekslYy
exline	eksl'yn
exner	eksn'r
exocet	eks'wset
exodus	eks'd's
exogenous	eksuwdZ'n's
exon	ekson
exonerate	'gzon'reyt
exonerated	'gzon'reyt'd
exonerates	'gzon'reyts
exonerating	'gzon'reyt'N
exoneration	'gz'n'reyS'n
exorbitant	'gzcrb't'nt
exorcism	eks'rsiz'm
exorcisms	eks'rsiz'mz
exorcist	eks'rs'st
exorcists	eks'rs'sts
exoskeleton	eks'wskel't'n
exothermic	eks'wTRrm'k
exotic	'gzot'k
exotics	'gzot'ks
exovir	eks'wvir
expand	'kspand
expandable	'kspand'b'l
expanded	'kspand'd
expanding	'kspand'N
expands	'kspandz
expanse	'kspans
expanses	'kspans'z
expansion	'kspanS'n 'kspantS'n
expansion's	'kspanS'nz 'kspantS'nz
expansionary	'kspanS'nerYy 'kspantS'nerYy
expansionism	'kspanS'niz'm 'kspantS'niz'm
expansionist	'kspanS'n'st 'kspantS'n'st
expansions	'kspanS'nz 'kspantS'nz
expansive	'kspans'v
expatriate	'kspeytrYy't 'kspeytrYyeyt
expatriates	'kspeytrYy'ts 'kspeytrYyeyts
expatriation	'kspeytrYyeyS'n
expect	'kspekt
expectancies	'kspekt'nsYyz
expectancy	'kspekt'nsYy
expectant	'kspekt'nt
expectation	eksp'kteyS'n
expectations	eksp'kteyS'nz
expected	'kspekt'd
expecting	'kspekt'N
expectorant	'kspekt'r'nt
expects	'kspeks 'kspekts
expedia	'kspYydYy'
expedience	'kspYydYy'ns
expediency	'kspYydYy'nsYy
expedient	'kspYydYy'nt
expedite	eksp'doyt
expedited	eksp'doyt'd
expediting	eksp'doyt'N
expedition	eksp'diS'n
expeditionary	eksp'diS'nerYy
expeditions	eksp'diS'nz
expeditious	eksp'diS's
expeditiously	eksp'diS'slYy
expel	'kspel
expelled	'kspeld
expelling	'kspel'N
expend	'kspend
expendable	'kspend'b'l
expended	'kspend'd
expending	ekspend'N
expenditure	'kspend'tS'r
expenditures	'kspend'tS'rz
expense	'kspens
